id,unit_id,status,ownership_type,date_acquired,purchase_amount,monthly_payment,payment_start_date,payment_end_date,lender,make,model,year,purchase_odometer,purchase_odometer_update,odometer,odometer_update,fair_market_value,fair_market_value_date,down_payment,interest_rate,balloon_payment
1534,SPOT-Truck 0545,ACTIVE,Financed,2025-03-01,190452,3752.75,2025-04-01,2030-04-01,Volvo Financial Services,VOLVO,VNL860,2026,1032,,9958,5-12-2025 3:02:44,0,,9522.6,8.75,0
1535,SPOT-Truck 0724,ACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,15,,9399,5-11-2025 19:40:32,0,,0,0,0
1536,SPOT-Truck 0727,ACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,15,,15646,5-11-2025 21:42:28,0,,0,0,0
1536,SPOT-Truck 0727,INACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,15,,,,0,,0,0,0
1537,SPOT-Truck 0708,INACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,15,,,,0,,0,0,0
1537,SPOT-Truck 0708,ACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,15,,14315,5-12-2025 9:23:55,0,,0,0,0
1538,SPOT-Truck 0730,ACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,15,,2347,4-12-2025 17:27:30,0,,0,0,0
1539,SPOT-Truck 1052,ACTIVE,Financed,2025-04-01,115000,2495.42,2025-05-01,2029-11-01,"Commercial Capital Company, L.L.C.",Peterbilt,579,2023,161632,,163421,5-10-2025 12:11:07,0,,11500,12.8,0
1540,SPOT-Truck 0731,ACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,1623,4-14-2025 17:55:16,10782,5-9-2025 17:03:19,,,,,
1541,SPOT-Truck 0547,ACTIVE,Operating lease,2025-04-01,172227,4590.31,2025-05-01,2030-05-01,Ryder Truck Rental,Freightliner,Cascadia,2026,61,4-14-2025 17:56:35,14743,5-11-2025 22:20:07,,,,,
